,image_id,category_id,area,bbox,iscrowd,id,x_min,y_min,height,width,x_max,y_max,ctr_x,ctr_y,ratio
15,4,1,54208.4,"[392.5, 348.4, 212.0, 255.7]",0,15,392.5,348.4,212.0,255.7,604.5,604.0999999999999,498.5,476.25,0.8290965975752835
16,4,1,57900.45,"[482.2, 491.4, 277.7, 208.5]",0,16,482.2,491.4,277.7,208.5,759.9,699.9,621.05,595.65,1.33189448441247
17,4,0,4523.64,"[868.2, 521.7, 101.2, 44.7]",0,17,868.2,521.7,101.2,44.7,969.4000000000001,566.4000000000001,918.8000000000001,544.0500000000001,2.2639821029082774
18,5,7,41210.0,"[0.0, 148.3, 317.0, 130.0]",0,18,0.0,148.3,317.0,130.0,317.0,278.3,158.5,213.3,2.4384615384615387
19,5,0,12162.85,"[320.0, 233.7, 182.9, 66.5]",0,19,320.0,233.7,182.9,66.5,502.9,300.2,411.45,266.95,2.7503759398496244
20,5,0,10264.35,"[297.7, 212.6, 166.9, 61.5]",0,20,297.7,212.6,166.9,61.5,464.6,274.1,381.15,243.35,2.713821138211382
21,5,0,747.25,"[329.8, 203.2, 42.7, 17.5]",0,21,329.8,203.2,42.7,17.5,372.5,220.7,351.15000000000003,211.95,2.44
22,5,5,3857.61,"[979.0, 173.0, 44.7, 86.3]",0,22,979.0,173.0,44.7,86.3,1023.7,259.3,1001.35,216.15,0.5179606025492469
23,5,5,12551.8,"[894.3, 425.4, 129.4, 97.0]",0,23,894.3,425.4,129.4,97.0,1023.6999999999999,522.4,959.0,473.9,1.3340206185567012
24,5,7,8202.18,"[803.6, 282.4, 82.6, 99.3]",0,24,803.6,282.4,82.6,99.3,886.2,381.7,844.9,332.04999999999995,0.8318227593152064
25,5,7,72245.76,"[489.7, 158.0, 441.6, 163.6]",0,25,489.7,158.0,441.6,163.6,931.3,321.6,710.5,239.8,2.699266503667482
26,5,7,17714.61,"[837.8, 263.6, 134.1, 132.1]",0,26,837.8,263.6,134.1,132.1,971.9,395.70000000000005,904.8499999999999,329.65000000000003,1.0151400454201362
27,5,7,27124.88,"[799.8, 392.4, 163.6, 165.8]",0,27,799.8,392.4,163.6,165.8,963.4,558.2,881.5999999999999,475.29999999999995,0.9867310012062726
28,5,7,73950.6,"[631.9, 237.2, 208.9, 354.0]",0,28,631.9,237.2,208.9,354.0,840.8,591.2,736.35,414.2,0.5901129943502825
29,5,7,7963.68,"[948.5, 0.0, 75.2, 105.9]",0,29,948.5,0.0,75.2,105.9,1023.7,105.9,986.1,52.95,0.7101038715769594
30,5,7,229774.6,"[55.5, 0.0, 961.4, 239.0]",0,30,55.5,0.0,961.4,239.0,1016.9,239.0,536.2,119.5,4.022594142259414
31,5,1,4798.99,"[68.1, 66.5, 125.3, 38.3]",0,31,68.1,66.5,125.3,38.3,193.39999999999998,104.8,130.75,85.65,3.2715404699738904
32,5,1,16733.1,"[181.2, 70.3, 173.4, 96.5]",0,32,181.2,70.3,173.4,96.5,354.6,166.8,267.9,118.55,1.7968911917098447
33,5,7,143643.78,"[0.0, 129.3, 333.9, 430.2]",0,33,0.0,129.3,333.9,430.2,333.9,559.5,166.95,344.4,0.7761506276150627
34,5,1,283065.78,"[60.6, 271.2, 605.1, 467.8]",0,34,60.6,271.2,605.1,467.8,665.7,739.0,363.15000000000003,505.1,1.2935014963659683
35,5,1,172289.5,"[104.6, 278.6, 543.5, 317.0]",0,35,104.6,278.6,543.5,317.0,648.1,595.6,376.35,437.1,1.7145110410094637
36,5,0,3099.12,"[98.5, 612.3, 69.8, 44.4]",0,36,98.5,612.3,69.8,44.4,168.3,656.6999999999999,133.4,634.5,1.572072072072072
37,5,1,110969.7,"[495.7, 627.6, 345.7, 321.0]",0,37,495.7,627.6,345.7,321.0,841.4,948.6,668.55,788.1,1.0769470404984423
38,5,5,3693.89,"[925.5, 97.3, 52.1, 70.9]",0,38,925.5,97.3,52.1,70.9,977.6,168.2,951.55,132.75,0.7348377997179125
39,5,0,7761.0,"[471.4, 422.3, 130.0, 59.7]",0,39,471.4,422.3,130.0,59.7,601.4,482.0,536.4,452.15000000000003,2.1775544388609713
40,6,1,222913.17,"[351.7, 269.9, 398.7, 559.1]",0,40,351.7,269.9,398.7,559.1,750.4,829.0,551.05,549.45,0.7131103559291718
41,7,9,358485.73,"[109.0, 104.7, 751.7, 476.9]",0,41,109.0,104.7,751.7,476.9,860.7,581.6,484.85,343.15,1.576221430069197
42,7,9,391485.88,"[95.4, 438.7, 708.7, 552.4]",0,42,95.4,438.7,708.7,552.4,804.1,991.0999999999999,449.75,714.9,1.2829471397538017
43,8,6,251634.04,"[51.8, 0.0, 635.6, 395.9]",0,43,51.8,0.0,635.6,395.9,687.4,395.9,369.6,197.95,1.6054559232129326
44,8,0,5884.18,"[74.8, 258.0, 246.2, 23.9]",0,44,74.8,258.0,246.2,23.9,321.0,281.9,197.89999999999998,269.95,10.301255230125523
45,8,7,87462.75,"[170.3, 0.0, 415.5, 210.5]",0,45,170.3,0.0,415.5,210.5,585.8,210.5,378.05,105.25,1.9738717339667458
46,8,7,67004.52,"[0.0, 161.8, 101.2, 662.1]",0,46,0.0,161.8,101.2,662.1,101.2,823.9000000000001,50.6,492.85,0.15284700196344964
47,8,7,22753.44,"[86.0, 0.0, 183.2, 124.2]",0,47,86.0,0.0,183.2,124.2,269.2,124.2,177.6,62.1,1.4750402576489532
48,8,7,40690.68,"[0.0, 0.0, 192.3, 211.6]",0,48,0.0,0.0,192.3,211.6,192.3,211.6,96.15,105.8,0.9087901701323252
49,8,7,559347.65,"[44.4, 135.9, 745.3, 750.5]",0,49,44.4,135.9,745.3,750.5,789.6999999999999,886.4,417.04999999999995,511.15,0.9930712858094602
50,9,2,168024.78,"[308.4, 281.3, 404.1, 415.8]",0,50,308.4,281.3,404.1,415.8,712.5,697.1,510.45,489.20000000000005,0.9718614718614719
51,10,0,102452.04,"[377.9, 255.0, 368.4, 278.1]",0,51,377.9,255.0,368.4,278.1,746.3,533.1,562.0999999999999,394.05,1.3247033441208196
52,11,0,13126.08,"[446.6, 445.2, 96.8, 135.6]",0,52,446.6,445.2,96.8,135.6,543.4,580.8,495.0,513.0,0.7138643067846607
53,12,1,396229.4,"[146.0, 441.9, 775.4, 511.0]",0,53,146.0,441.9,775.4,511.0,921.4,952.9,533.7,697.4,1.5174168297455968
54,12,1,53411.04,"[274.8, 540.1, 383.7, 139.2]",0,54,274.8,540.1,383.7,139.2,658.5,679.3,466.65,609.7,2.7564655172413794
55,12,1,94348.24,"[276.3, 334.6, 356.3, 264.8]",0,55,276.3,334.6,356.3,264.8,632.6,599.4000000000001,454.45000000000005,467.0,1.3455438066465257
56,13,6,16522.19,"[99.9, 58.9, 139.9, 118.1]",0,56,99.9,58.9,139.9,118.1,239.8,177.0,169.85000000000002,117.94999999999999,1.18458933107536
57,13,7,56487.12,"[746.7, 167.6, 223.8, 252.4]",0,57,746.7,167.6,223.8,252.4,970.5,420.0,858.6,293.8,0.8866877971473851
58,13,7,17687.12,"[0.0, 0.0, 111.1, 159.2]",0,58,0.0,0.0,111.1,159.2,111.1,159.2,55.55,79.6,0.6978643216080402
59,13,6,14725.8,"[59.3, 0.0, 181.8, 81.0]",0,59,59.3,0.0,181.8,81.0,241.10000000000002,81.0,150.2,40.5,2.2444444444444445
60,13,7,86417.16,"[629.2, 24.9, 341.3, 253.2]",0,60,629.2,24.9,341.3,253.2,970.5,278.09999999999997,799.85,151.5,1.3479462875197474
61,13,1,13110.51,"[0.0, 159.5, 104.3, 125.7]",0,61,0.0,159.5,104.3,125.7,104.3,285.2,52.15,222.35,0.8297533810660301
62,13,1,105259.7,"[0.0, 473.4, 301.0, 349.7]",0,62,0.0,473.4,301.0,349.7,301.0,823.0999999999999,150.5,648.25,0.8607377752359165
63,13,1,60018.75,"[0.0, 266.9, 247.5, 242.5]",0,63,0.0,266.9,247.5,242.5,247.5,509.4,123.75,388.15,1.0206185567010309
64,13,7,602870.0,"[72.5, 112.0, 835.0, 722.0]",0,64,72.5,112.0,835.0,722.0,907.5,834.0,490.0,473.0,1.1565096952908587
65,13,1,2338.92,"[485.2, 173.2, 65.7, 35.6]",0,65,485.2,173.2,65.7,35.6,550.9,208.79999999999998,518.05,191.0,1.845505617977528
66,13,3,22196.76,"[325.1, 457.7, 169.7, 130.8]",0,66,325.1,457.7,169.7,130.8,494.8,588.5,409.95000000000005,523.1,1.297400611620795
67,13,5,62352.12,"[484.6, 145.8, 226.9, 274.8]",0,67,484.6,145.8,226.9,274.8,711.5,420.6,598.0500000000001,283.20000000000005,0.8256914119359534
68,13,5,47748.0,"[572.6, 538.9, 276.0, 173.0]",0,68,572.6,538.9,276.0,173.0,848.6,711.9,710.6,625.4,1.5953757225433527
69,13,5,35448.7,"[136.1, 355.0, 311.5, 113.8]",0,69,136.1,355.0,311.5,113.8,447.6,468.8,291.85,411.9,2.7372583479789103
70,13,5,68433.5,"[459.2, 335.2, 329.8, 207.5]",0,70,459.2,335.2,329.8,207.5,789.0,542.7,624.1,438.95,1.589397590361446
71,13,5,40667.06,"[611.2, 450.0, 244.1, 166.6]",0,71,611.2,450.0,244.1,166.6,855.3000000000001,616.6,733.25,533.3,1.465186074429772
72,14,9,186197.9,"[586.4, 194.4, 288.5, 645.4]",0,72,586.4,194.4,288.5,645.4,874.9,839.8,730.65,517.1,0.44700960644561516
73,14,9,197977.44,"[158.5, 260.7, 332.4, 595.6]",0,73,158.5,260.7,332.4,595.6,490.9,856.3,324.7,558.5,0.5580926796507722
74,14,7,57957.5,"[118.9, 0.0, 239.0, 242.5]",0,74,118.9,0.0,239.0,242.5,357.9,242.5,238.4,121.25,0.9855670103092784
75,14,9,40297.99,"[175.7, 97.9, 171.7, 234.7]",0,75,175.7,97.9,171.7,234.7,347.4,332.6,261.54999999999995,215.25,0.7315722198551342
76,14,3,5270.52,"[909.2, 929.9, 66.8, 78.9]",0,76,909.2,929.9,66.8,78.9,976.0,1008.8,942.6,969.35,0.8466413181242077
77,15,6,4887.96,"[844.2, 499.5, 48.3, 101.2]",0,77,844.2,499.5,48.3,101.2,892.5,600.7,868.35,550.1,0.47727272727272724
78,15,3,138850.34,"[423.9, 390.4, 424.1, 327.4]",0,78,423.9,390.4,424.1,327.4,848.0,717.8,635.95,554.0999999999999,1.2953573610262676
79,15,6,5897.64,"[885.6, 577.0, 71.4, 82.6]",0,79,885.6,577.0,71.4,82.6,957.0,659.6,921.3000000000001,618.3,0.8644067796610171
80,16,6,348151.91,"[306.8, 178.8, 569.9, 610.9]",0,80,306.8,178.8,569.9,610.9,876.7,789.7,591.75,484.25,0.9328859060402684
81,17,0,305691.87,"[238.5, 273.7, 502.7, 608.1]",0,81,238.5,273.7,502.7,608.1,741.2,881.8,489.85,577.75,0.8266732445321493
82,18,6,35072.1,"[321.7, 504.4, 556.7, 63.0]",0,82,321.7,504.4,556.7,63.0,878.4000000000001,567.4,600.05,535.9,8.836507936507937
83,18,6,44261.98,"[341.7, 471.1, 541.1, 81.8]",0,83,341.7,471.1,541.1,81.8,882.8,552.9,612.25,512.0,6.614914425427873
84,18,6,113387.5,"[320.0, 348.4, 587.5, 193.0]",0,84,320.0,348.4,587.5,193.0,907.5,541.4,613.75,444.9,3.0440414507772022
85,18,6,68328.14,"[368.8, 231.6, 422.3, 161.8]",0,85,368.8,231.6,422.3,161.8,791.1,393.4,579.95,312.5,2.6100123609394315
86,18,7,102801.65,"[309.5, 474.7, 350.5, 293.3]",0,86,309.5,474.7,350.5,293.3,660.0,768.0,484.75,621.35,1.1950221616092738
87,18,6,51485.06,"[370.5, 166.6, 429.4, 119.9]",0,87,370.5,166.6,429.4,119.9,799.9,286.5,585.2,226.55,3.581317764804003
88,18,7,186956.7,"[0.0, 511.0, 490.7, 381.0]",0,88,0.0,511.0,490.7,381.0,490.7,892.0,245.35,701.5,1.2879265091863517
89,18,6,253722.28,"[440.6, 529.5, 513.4, 494.2]",0,89,440.6,529.5,513.4,494.2,954.0,1023.7,697.3,776.6,1.0388506677458518
90,18,7,80656.14,"[361.7, 257.0, 305.4, 264.1]",0,90,361.7,257.0,305.4,264.1,667.0999999999999,521.1,514.4,389.05,1.15638015903067
91,18,7,47459.16,"[447.0, 65.8, 305.4, 155.4]",0,91,447.0,65.8,305.4,155.4,752.4,221.2,599.7,143.5,1.965250965250965
92,18,3,2771.2,"[737.2, 336.8, 43.3, 64.0]",0,92,737.2,336.8,43.3,64.0,780.5,400.8,758.85,368.8,0.6765625
93,19,2,3545.24,"[12.2, 508.2, 67.4, 52.6]",0,93,12.2,508.2,67.4,52.6,79.60000000000001,560.8,45.900000000000006,534.5,1.2813688212927756
94,19,7,73664.64,"[580.1, 0.8, 352.8, 208.8]",0,94,580.1,0.8,352.8,208.8,932.9000000000001,209.60000000000002,756.5,105.2,1.6896551724137931
95,19,7,33360.96,"[0.0, 0.0, 224.2, 148.8]",0,95,0.0,0.0,224.2,148.8,224.2,148.8,112.1,74.4,1.5067204301075268
96,19,7,115807.72,"[164.2, 0.0, 540.4, 214.3]",0,96,164.2,0.0,540.4,214.3,704.5999999999999,214.3,434.4,107.15,2.521698553429771
97,19,7,188033.6,"[0.0, 95.5, 446.0, 421.6]",0,97,0.0,95.5,446.0,421.6,446.0,517.1,223.0,306.3,1.0578747628083491
98,19,7,173482.56,"[0.0, 321.5, 465.6, 372.6]",0,98,0.0,321.5,465.6,372.6,465.6,694.1,232.8,507.8,1.249597423510467
99,19,0,2472.92,"[965.1, 385.0, 58.6, 42.2]",0,99,965.1,385.0,58.6,42.2,1023.7,427.2,994.4,406.1,1.3886255924170616
100,19,3,2171.6,"[224.2, 346.7, 61.0, 35.6]",0,100,224.2,346.7,61.0,35.6,285.2,382.3,254.7,364.5,1.7134831460674156
101,19,1,4783.62,"[262.1, 355.6, 130.7, 36.6]",0,101,262.1,355.6,130.7,36.6,392.8,392.20000000000005,327.45000000000005,373.90000000000003,3.5710382513661196
102,19,7,535229.24,"[377.6, 104.6, 646.1, 828.4]",0,102,377.6,104.6,646.1,828.4,1023.7,933.0,700.6500000000001,518.8,0.7799372283920811
103,20,7,117079.82,"[254.3, 276.6, 371.8, 314.9]",0,103,254.3,276.6,371.8,314.9,626.1,591.5,440.20000000000005,434.05,1.1806922832645286
104,21,7,220027.64,"[547.8, 0.0, 458.2, 480.2]",0,104,547.8,0.0,458.2,480.2,1006.0,480.2,776.9,240.1,0.9541857559350271
105,21,7,68546.24,"[256.8, 0.0, 301.7, 227.2]",0,105,256.8,0.0,301.7,227.2,558.5,227.2,407.65,113.6,1.3279049295774648
106,21,7,69169.8,"[581.3, 194.7, 180.6, 383.0]",0,106,581.3,194.7,180.6,383.0,761.9,577.7,671.5999999999999,386.2,0.4715404699738903
107,21,7,30169.76,"[439.6, 130.4, 154.4, 195.4]",0,107,439.6,130.4,154.4,195.4,594.0,325.8,516.8000000000001,228.10000000000002,0.7901740020470829
108,21,7,40717.0,"[290.8, 158.1, 190.0, 214.3]",0,108,290.8,158.1,190.0,214.3,480.8,372.4,385.8,265.25,0.8866075594960335
109,21,7,83030.25,"[290.3, 213.3, 223.5, 371.5]",0,109,290.3,213.3,223.5,371.5,513.8,584.8,402.05,399.05,0.6016150740242261
110,21,7,31273.2,"[476.2, 266.2, 126.0, 248.2]",0,110,476.2,266.2,126.0,248.2,602.2,514.4,539.2,390.29999999999995,0.5076551168412571
111,21,7,45219.9,"[492.4, 507.9, 193.0, 234.3]",0,111,492.4,507.9,193.0,234.3,685.4,742.2,588.9,625.05,0.8237302603499786
112,21,7,77888.58,"[283.2, 497.4, 219.9, 354.2]",0,112,283.2,497.4,219.9,354.2,503.1,851.5999999999999,393.15,674.5,0.6208356860530774
113,21,7,8881.83,"[295.4, 119.2, 74.7, 118.9]",0,113,295.4,119.2,74.7,118.9,370.09999999999997,238.10000000000002,332.75,178.65,0.6282590412111018
114,22,3,48510.0,"[458.5, 7.4, 176.4, 275.0]",0,114,458.5,7.4,176.4,275.0,634.9,282.4,546.7,144.9,0.6414545454545455
115,22,3,240330.24,"[59.3, 631.9, 820.8, 292.8]",0,115,59.3,631.9,820.8,292.8,880.0999999999999,924.7,469.7,778.3,2.80327868852459
116,23,0,342823.66,"[233.7, 341.0, 711.4, 481.9]",0,116,233.7,341.0,711.4,481.9,945.0999999999999,822.9,589.4,581.95,1.4762398837933182
117,24,0,176296.5,"[381.3, 311.6, 405.0, 435.3]",0,117,381.3,311.6,405.0,435.3,786.3,746.9000000000001,583.8,529.25,0.9303928325292902
118,25,0,143371.8,"[280.0, 276.6, 429.0, 334.2]",0,118,280.0,276.6,429.0,334.2,709.0,610.8,494.5,443.70000000000005,1.2836624775583483
119,26,9,210595.0,"[153.4, 219.1, 273.5, 770.0]",0,119,153.4,219.1,273.5,770.0,426.9,989.1,290.15,604.1,0.3551948051948052
120,26,9,196047.9,"[406.3, 284.1, 274.5, 714.2]",0,120,406.3,284.1,274.5,714.2,680.8,998.3000000000001,543.55,641.2,0.38434612153458414
121,27,0,145376.1,"[816.8, 96.2, 207.0, 702.3]",0,121,816.8,96.2,207.0,702.3,1023.8,798.5,920.3,447.34999999999997,0.2947458351131995
122,27,0,253580.16,"[272.3, 375.5, 731.2, 346.8]",0,122,272.3,375.5,731.2,346.8,1003.5,722.3,637.9000000000001,548.9,2.108419838523645
123,27,5,107428.64,"[331.2, 418.9, 272.8, 393.8]",0,123,331.2,418.9,272.8,393.8,604.0,812.7,467.6,615.8,0.6927374301675978
124,28,0,4255.09,"[516.1, 631.2, 68.3, 62.3]",0,124,516.1,631.2,68.3,62.3,584.4,693.5,550.25,662.35,1.0963081861958266
125,28,2,81884.11,"[483.0, 248.2, 212.3, 385.7]",0,125,483.0,248.2,212.3,385.7,695.3,633.9,589.15,441.04999999999995,0.550427793621986
126,28,5,17509.94,"[328.6, 244.1, 126.7, 138.2]",0,126,328.6,244.1,126.7,138.2,455.3,382.29999999999995,391.95000000000005,313.2,0.9167872648335746
127,28,0,36600.08,"[175.7, 672.5, 437.8, 83.6]",0,127,175.7,672.5,437.8,83.6,613.5,756.1,394.6,714.3,5.236842105263158
128,29,4,193631.76,"[130.0, 586.8, 522.2, 370.8]",0,128,130.0,586.8,522.2,370.8,652.2,957.5999999999999,391.1,772.1999999999999,1.4083063646170444
129,29,0,5178.8,"[399.6, 222.5, 48.4, 107.0]",0,129,399.6,222.5,48.4,107.0,448.0,329.5,423.8,276.0,0.4523364485981308
130,29,4,98600.08,"[171.7, 309.8, 377.2, 261.4]",0,130,171.7,309.8,377.2,261.4,548.9,571.2,360.29999999999995,440.5,1.442999234889059
131,29,0,262287.69,"[0.0, 3.7, 553.7, 473.7]",0,131,0.0,3.7,553.7,473.7,553.7,477.4,276.85,240.54999999999998,1.1688832594469074
132,29,0,80547.72,"[427.3, 6.4, 263.4, 305.8]",0,132,427.3,6.4,263.4,305.8,690.7,312.2,559.0,159.3,0.8613472858077174
133,30,0,366753.8,"[125.0, 219.9, 760.9, 482.0]",0,133,125.0,219.9,760.9,482.0,885.9,701.9,505.45,460.9,1.5786307053941908
134,31,0,257499.2,"[389.3, 0.0, 464.8, 554.0]",0,134,389.3,0.0,464.8,554.0,854.1,554.0,621.7,277.0,0.8389891696750903
135,31,3,117241.94,"[359.6, 445.3, 358.1, 327.4]",0,135,359.6,445.3,358.1,327.4,717.7,772.7,538.6500000000001,609.0,1.0937690897984118
136,31,0,23266.88,"[748.7, 159.5, 131.6, 176.8]",0,136,748.7,159.5,131.6,176.8,880.3000000000001,336.3,814.5,247.9,0.7443438914027148
137,32,6,5875.76,"[762.6, 398.5, 48.4, 121.4]",0,137,762.6,398.5,48.4,121.4,811.0,519.9,786.8000000000001,459.2,0.39868204283360786
138,32,0,1044.2,"[781.2, 471.4, 22.7, 46.0]",0,138,781.2,471.4,22.7,46.0,803.9000000000001,517.4,792.5500000000001,494.4,0.4934782608695652
139,32,7,164631.08,"[332.9, 145.8, 638.6, 257.8]",0,139,332.9,145.8,638.6,257.8,971.5,403.6,652.2,274.70000000000005,2.47711404189294
140,32,3,1884.68,"[441.6, 186.9, 50.8, 37.1]",0,140,441.6,186.9,50.8,37.1,492.40000000000003,224.0,467.0,205.45000000000002,1.3692722371967654
141,32,3,1175.76,"[95.8, 262.3, 55.2, 21.3]",0,141,95.8,262.3,55.2,21.3,151.0,283.6,123.4,272.95,2.591549295774648
142,32,7,9606.84,"[158.1, 470.6, 71.8, 133.8]",0,142,158.1,470.6,71.8,133.8,229.89999999999998,604.4000000000001,194.0,537.5,0.5366218236173392
143,32,7,149484.9,"[149.7, 658.0, 650.5, 229.8]",0,143,149.7,658.0,650.5,229.8,800.2,887.8,474.95,772.9,2.830722367275892
144,32,7,1756.86,"[750.1, 735.0, 62.3, 28.2]",0,144,750.1,735.0,62.3,28.2,812.4,763.2,781.25,749.1,2.2092198581560285
145,32,5,28801.0,"[753.4, 551.9, 138.8, 207.5]",0,145,753.4,551.9,138.8,207.5,892.2,759.4,822.8,655.65,0.6689156626506024
146,32,0,1296.3,"[819.8, 640.8, 44.7, 29.0]",0,146,819.8,640.8,44.7,29.0,864.5,669.8,842.15,655.3,1.5413793103448277
147,32,0,1050.42,"[838.1, 616.1, 42.7, 24.6]",0,147,838.1,616.1,42.7,24.6,880.8000000000001,640.7,859.45,628.4,1.7357723577235773
148,32,0,5383.08,"[866.2, 594.0, 68.4, 78.7]",0,148,866.2,594.0,68.4,78.7,934.6,672.7,900.4000000000001,633.35,0.8691232528589581
149,32,7,255760.02,"[207.2, 509.0, 681.3, 375.4]",0,149,207.2,509.0,681.3,375.4,888.5,884.4,547.8499999999999,696.7,1.8148641449120937
150,32,7,476226.96,"[118.5, 220.7, 784.3, 607.2]",0,150,118.5,220.7,784.3,607.2,902.8,827.9000000000001,510.65,524.3,1.2916666666666665
151,33,9,101176.92,"[301.0, 199.1, 202.8, 498.9]",0,151,301.0,199.1,202.8,498.9,503.8,698.0,402.4,448.54999999999995,0.4064942874323512
152,33,9,111109.44,"[431.7, 212.2, 226.2, 491.2]",0,152,431.7,212.2,226.2,491.2,657.9,703.4,544.8,457.79999999999995,0.4605048859934853
153,34,7,357343.98,"[214.0, 168.6, 583.8, 612.1]",0,153,214.0,168.6,583.8,612.1,797.8,780.7,505.9,474.65,0.9537657245548112
154,35,2,142263.69,"[369.8, 399.7, 346.9, 410.1]",0,154,369.8,399.7,346.9,410.1,716.7,809.8,543.25,604.75,0.8458912460375517
155,36,1,7804.8,"[135.1, 820.5, 96.0, 81.3]",0,155,135.1,820.5,96.0,81.3,231.1,901.8,183.1,861.15,1.1808118081180812
156,36,7,10972.19,"[469.6, 804.2, 123.7, 88.7]",0,156,469.6,804.2,123.7,88.7,593.3000000000001,892.9000000000001,531.45,848.5500000000001,1.3945885005636978
157,36,7,8251.47,"[816.0, 806.3, 150.3, 54.9]",0,157,816.0,806.3,150.3,54.9,966.3,861.1999999999999,891.15,833.75,2.737704918032787
158,37,0,223585.92,"[282.1, 313.7, 544.8, 410.4]",0,158,282.1,313.7,544.8,410.4,826.9,724.0999999999999,554.5,518.9,1.327485380116959
159,38,5,1972.0,"[146.3, 246.6, 40.0, 49.3]",0,159,146.3,246.6,40.0,49.3,186.3,295.9,166.3,271.25,0.8113590263691685
160,38,7,34184.52,"[170.7, 158.7, 242.1, 141.2]",0,160,170.7,158.7,242.1,141.2,412.79999999999995,299.9,291.75,229.29999999999998,1.714589235127479
161,38,7,52635.59,"[352.8, 187.7, 272.3, 193.3]",0,161,352.8,187.7,272.3,193.3,625.1,381.0,488.95000000000005,284.35,1.4086911536471804
162,38,7,62924.64,"[114.5, 259.0, 311.2, 202.2]",0,162,114.5,259.0,311.2,202.2,425.7,461.2,270.1,360.1,1.5390702274975272
163,38,1,2025.38,"[423.6, 213.8, 51.8, 39.1]",0,163,423.6,213.8,51.8,39.1,475.40000000000003,252.9,449.5,233.35000000000002,1.3248081841432224
164,38,7,17232.18,"[442.2, 150.1, 186.9, 92.2]",0,164,442.2,150.1,186.9,92.2,629.1,242.3,535.65,196.2,2.027114967462039
165,38,5,2457.51,"[340.7, 283.4, 67.7, 36.3]",0,165,340.7,283.4,67.7,36.3,408.4,319.7,374.55,301.54999999999995,1.8650137741046835
166,38,5,4613.62,"[397.9, 179.8, 62.6, 73.7]",0,166,397.9,179.8,62.6,73.7,460.5,253.5,429.2,216.65,0.8493894165535957
167,38,7,69199.56,"[138.8, 334.2, 273.3, 253.2]",0,167,138.8,334.2,273.3,253.2,412.1,587.4,275.45000000000005,460.79999999999995,1.0793838862559242
168,38,7,54658.8,"[88.4, 440.4, 289.2, 189.0]",0,168,88.4,440.4,289.2,189.0,377.6,629.4,233.0,534.9,1.53015873015873
169,38,7,165085.5,"[386.0, 298.7, 392.5, 420.6]",0,169,386.0,298.7,392.5,420.6,778.5,719.3,582.25,509.0,0.9331906799809795
170,38,7,181644.98,"[497.4, 532.8, 411.8, 441.1]",0,170,497.4,532.8,411.8,441.1,909.2,973.9,703.3,753.3499999999999,0.9335751530265246
171,38,7,4271.4,"[534.7, 197.6, 94.5, 45.2]",0,171,534.7,197.6,94.5,45.2,629.2,242.8,581.95,220.2,2.0907079646017697
